CARRERA,FACULTAD
ADMINISTRACION PUBLICA,FACULTAD DE ADMINISTRACION Y ECONOMIA
ADMINISTRACION PUBLICA,NAN
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ANALISIS Y GESTION DE PROCESOS PRODUCTIVOS,FACULTAD TECNOLOGICA
ANALISIS Y GESTION DE PROCESOS PRODUCTIVOS,NAN
ANALISTA COMPUTACION CIENTIFICA,NAN
ANALISTA COMPUTACION CIENTIFICA / LICENCIATURA CIENCIA DE LA COMPUTACION,FACULTAD DE CIENCIA
ARQUITECTURA,ESCUELA DE ARQUITECTURA
ARQUITECTURA,NAN
ARQUITECTURA,VICERRECTORIA ACADEMICA
BACHILLERATO,NAN
BACHILLERATO 2DO ANO,NAN
BACHILLERATO CIENCIAS Y HUMANIDADES,NAN
BACHILLERATO CIENCIAS Y HUMANIDADES,VICERRECTORIA ACADEMICA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,BACHILLERATO CIENCIAS Y HUMANIDADES
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,PROGRAMA DE BACHILLERATO CIENCIAS Y HUMANIDADES
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-/INGENIERIA CIVIL INFORMATICA,BACHILLERATO CIENCIAS Y HUMANIDADES
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
BIOQUIMICA,NAN
BIOQUIMICA Y LICENCIATURA BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
CONTADOR PUBLICO AUDITOR,NAN
CONTADOR PUBLICO Y AUDITOR,NAN
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (DIURNO),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (V),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (V)/ENTRENADOR DEPORTIVO,FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (VESPERTINO),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR -INGRESO ESPECIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
DERECHO,FACULTAD DE DERECHO
DERECHO,NAN
DISENO COMUNICACION VISUAL,FACULTAD TECNOLOGICA
DISENO COMUNICACION VISUAL,NAN
DISENO INDUSTRIAL,FACULTAD TECNOLOGICA
DISENO INDUSTRIAL,NAN
ENFERMERIA,FACULTAD DE CIENCIAS MEDICAS
ENFERMERIA,NAN
ING COMERCIAL,NAN
INGENIERIA,NAN
INGENIERIA AGRONEGOCIOS,FACULTAD TECNOLOGICA
INGENIERIA AMBIENTAL,FACULTAD DE INGENIERIA
INGENIERIA BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL AMBIENTE,FACULTAD DE INGENERIIA
INGENIERIA CIVIL AMBIENTE,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,NAN
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,NAN
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,NAN
INGENIERIA CIVIL GEOGRAFIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL GEOMENSURA Y GEOMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL GEOMENSURA Y GEOMATICA,NAN
INGENIERIA CIVIL INDUSTRIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,NAN
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,NAN
INGENIERIA CIVIL MECANIA,NAN
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,NAN
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,NAN
INGENIERIA CIVIL METALURGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MINAS,NAN
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL TELEMATICA,FACULTAD DE INGENIERIA
INGENIERIA COMERCIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL,NAN
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL ADMINISTRACION,NAN
INGENIERIA DE EJEC. COMPUTACION E INFORMATICA,FACULTAD DE INGENIERIA
"INGENIERIA DE EJECUCION CLIMATIZACION (CALEFACCION, REFRIGERACION Y AIRE ACONDICIONADO)",FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION COMPUTACION E INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION COMPUTACION E INFORMATICA,S2
INGENIERIA DE EJECUCION ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION GEOMENSURA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION INDUSTRIA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION INFORMATICA,NAN
INGENIERIA DE EJECUCION MECANICA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION METALURGIA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION MINAS,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION MINAS,NAN
INGENIERIA DE EJECUCION QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA EJECUCION ELECTRICA,NAN
INGENIERIA EJECUCION INFORMATICA E COMPUTACION,NAN
INGENIERIA EJECUCION MINAS,NAN
INGENIERIA ESTADISTICA,FACULTAD DE CIENCIA
INGENIERIA FISICA,FACULTAD DE CIENCIA
INGENIERIA FISICA,FACULTAD DE INGENIERIA
INGENIERIA FISICA,NAN
INGENIERIA MATEMATICA,FACULTAD DE CIENCIA
INGENIERIA MATEMATICA -PLAN 2007-,FACULTAD DE CIENCIA
INGENIERIACIVIL GEOMENSURA Y GEOMATICA,NAN
KINESIOLOGIA,FACULTAD DE CIENCIAS MEDICAS
KINESIOLOGIA,NAN
LICENCIATURA CIENCIAS DE LA ACTIVIDAD FISICA / ENTRENADOR DEPORTIVO,FACULTAD DE CIENCIAS MEDICAS
LICENCIATURA CIENCIAS DE LA ACTIVIDAD FISICA / TERAPEUTA ACTIVIDAD FISICA Y SALUD,FACULTAD DE CIENCIAS MEDICAS
LICENCIATURA ESTUDIOS INTERNACIONALES,FACULTAD DE HUMANIDADES
LICENCIATURA HISTORIA,FACULTAD DE HUMANIDADES
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES - JAPONES E INGLES - PORTUGUES,FACULTAD DE HUMANIDADES
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES - JAPONES E INGLES PORTUGUES,NAN
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES-JAPONES E INGLES-PORTUGUES,FACULTAD DE HUMANIDADES
LINGUISTICA APLICADA A LA TRADUCCION INGLES-JAPONES,NAN
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
OBSTETRICIA Y PUERICULTURA,FACULTAD DE CIENCIAS MEDICAS
OBSTETRICIA Y PUERICULTURA,NAN
PEDAGOGIA CASTELLANO,FACULTAD DE HUMANIDADES
PEDAGOGIA CASTELLANO,NAN
PEDAGOGIA EDUCACION FISICA,FACULTAD DE CIENCIAS MEDICAS
PEDAGOGIA EDUCACION GENERAL BASICA,FACULTAD DE HUMANIDADES
PEDAGOGIA FISICA Y MATEMATICA,FACULTAD DE CIENCIA
PEDAGOGIA HISTORIA Y CIENCIAS SOCIALES,FACULTAD DE HUMANIDADES
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
PEDAGOGIA INGLES,NAN
PEDAGOGIA MATEMATICA Y COMPUTACION,FACULTAD DE CIENCIA
PEDAGOGIA MATEMATICA Y COMPUTACION,NAN
PEDAGOGIA QUIMICA Y BIOLOGIA,FACULTAD DE QUIMICA Y BIOLOGIA
PERIODISMO,FACULTAD DE HUMANIDADES
PROGRAMA DE BACHILLERATO,NAN
PROGRAMA DE BACHILLERATO CIENCIAS Y HUMANIDADES,NAN
PSICOLOGIA,FACULTAD DE HUMANIDADES
PSICOLOGIA,NAN
PUBLICIDAD,FACULTAD TECNOLOGICA
PUBLICIDAD,NAN
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA Y FARMACIA,NAN
TECNICO UNIVERSITARIO ANALISIS QUIMICO Y FISICO,FACULTAD DE QUIMICA Y BIOLOGIA
TECNICO UNIVERSITARIO ANALISIS QUIMICO Y FISICO (V),FACULTAD DE QUIMICA Y BIOLOGIA
TECNOLOGIA ADMINISTRACION DE PERSONAL,FACULTAD TECNOLOGICA
TECNOLOGIA ALIMENTOS,FACULTAD TECNOLOGICA
TECNOLOGIA AUTOMATIZACION INDUSTRIAL,FACULTAD TECNOLOGICA
TECNOLOGIA CONSTRUCCIONES,FACULTAD TECNOLOGICA
TECNOLOGIA MANTENIMIENTO INDUSTRIAL,FACULTAD TECNOLOGICA
TECNOLOGIA TELECOMUNICACIONES,FACULTAD TECNOLOGICA
TECNOLOGIA TELECOMUNICACIONES,NAN
TECNOLOGO AUTOMATIZACION INDUSTRIAL,NAN
TERAPIA OCUPACIONAL,FACULTAD DE CIENCIAS MEDICAS
TERAPIA OCUPACIONAL,NAN
